"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"750",0.352941176470588,0.0909090909090909,0,0,0,0.0451269110481739,1,0,1,0.266666666666667,0.727272727272727,0.0317775571002979,0,0,0,1,"no"
"2811",0.147058823529412,0.818181818181818,1,0.333333333333333,0,0.0458517335337781,0,0,1,0.6,0.727272727272727,0.102615028136379,0,0,0,1,"no"
"4290",0.544117647058823,0,0.5,0.333333333333333,0,0.0646568502436209,1,0,1,0.933333333333333,0.727272727272727,0.0205230056272757,0.0204081632653061,0,0,1,"no"
"4230",0.632352941176471,0.545454545454545,0,0.666666666666667,0,0.0445497375874149,1,0,0,0.4,0.909090909090909,0.0701754385964912,0,0.211009174311927,0.16,0.666666666666667,"yes"
"2372",0.235294117647059,0.363636363636364,0,0.666666666666667,0,0.0487778687534395,1,0,1,0.266666666666667,0.727272727272727,0.0612380006620324,0,0,0,1,"no"
"3548",0.25,0.0909090909090909,1,0.333333333333333,0,0.0449389941074616,1,0,1,0.0666666666666667,0.545454545454545,0.142667990731546,0.0408163265306122,0,0,1,"no"
"1856",0.323529411764706,0.818181818181818,1,0.333333333333333,0,0.0527643924242628,0,0,0,0.133333333333333,0.272727272727273,0.348229063224098,0,0,0,1,"no"
"4237",0.176470588235294,0.0909090909090909,0.5,0.333333333333333,0,0.0457040845089328,1,0,1,0.5,0.727272727272727,0.226415094339623,0,0,0,1,"yes"
"954",0.220588235294118,0.363636363636364,1,0.666666666666667,0,0.0455967033999544,0,0,0,0.133333333333333,0.272727272727273,0.0751406818934128,0,0,0,1,"no"
"3640",0.558823529411765,0.363636363636364,0.5,0.666666666666667,0,0.0569388330357982,0,0,0,0.6,0.0909090909090909,0.126779212181397,0.142857142857143,0,0,1,"no"
"153",0.382352941176471,0.909090909090909,0,0,1,0.0411269647387283,1,1,1,0,0.454545454545455,0.0291294273419398,0,0,0,1,"no"
"126",0.220588235294118,0.545454545454545,1,0.666666666666667,0,0.0506704607991839,0,0,0,0.666666666666667,0.0909090909090909,0.619993379675604,0.0408163265306122,0,0,1,"yes"
